Estonian;English;Progress
////Section:1;Hello!;0
ema, ema, ema;mother
hommik, hommiku, hommikut;morning
Hommikust!;Good morning! (lit Morning!)
kullake(ne), kullakese, kullakest;sweetheart
laps, lapse, last;child
Tere hommikust!;Good morning! (lit Hello morning!)
mees, mehe, meest;man, husband
noh;well, so
Noh, nägemiseni siis!;Well, see you then!
Nägemiseni!;Goodbye! (lit Till we see!)
Oi!;Oh!
Tere!;Hello!
isa, isa, isa;father
Kõike head!;All the best!
Nägemist!;Goodbye! (lit Till we see!)
Tere päevast!;Good afternoon! (lit Hello day!)
Tere-tere!;Hello there! (lit hello-hello)
Jah, homseni!;Right, till tomorrow!
Kuulmiseni!;I'll be hearing from you!
Tere õhtust!;Good evening! (lit Hello evening!)
Head õhtut!;Have a good evening! (lit Good evening!)
Head aega!;Goodbye!
Kohe tulen!;I'll be right there! (lit right away I'll come)
Kuhu ma istun?;Where should I sit? (lit Where do I sit?)
neiu, neiu, neiut;young woman
noor/mees, noor/mehe, noor/meest;young man
siis;then
Tšau!;Bye! (informal)
Helista siis mulle, palun!;Please call me then!
Helista!;Call! (sing, informal)
helistan;I call
Olgu, helistan!;OK, I will call!
teller, telleri, tellerit;teller
Ants, Antsu, Antsu;Ants (male name)
Homseni!;Till tomorrow!
Jaan, Jaani, Jaani;Jaan (male name)
jah;yes, right
enam;anymore
Ma enam ei tee.;I won't do that anymore.
naine, naise, naist;woman, wife
Palun ära tee niimoodi!;Please don't do that! (lit Please don't do like that!)
õhtu, õhtu, õhtut;evening
kohe;now, right away, in a moment
siia;here
Tule siia!;Come here! (sing, informal)
Tule!;Come! (sing, informal)
tulen;I come
Istu palun!;Please, take a seat! (lit Sit, please!) (sing, informal)
Istu!;Sit! (sing, informal)
istun;I sit
Kuhu?;Where?
ma;I
palun;please (also: I ask, beg)
Pole tänu väärt!;Don't mention it! (lit not worth to thank)
Olgu!;OK!
aitäh;thanks, thank you
ei;no
Ei, aitäh.;No, thanks.
Joo veel kohvi!;Drink more coffee!
Joo!;Drink! (sing, informal)
kohv, kohvi, kohvi;coffee
Ma rohkem ei taha.;I don't want anymore.
noor, noore, noort;young
Palun vabandust!;I'm sorry! (lit I ask for forgiveness)
Pole midagi!;It's OK.
vana, vana, vana;old
veel;more, still, yet
Vabandust!;Sorry!
banaan, banaani, banaani;banana
Pole hullu!;It's OK! (lit Nothing crazy!)
Söö!;Eat! (sing, informal)
šokolaad, šokolaadi, šokolaadi;chocolate
Ära söö!;Don't eat! (sing, informal)
suur, suure, suurt;big
Suur tänu!;Thank you very much! (lit Big thank you!)
Kui palju kell on?;What's the time? (lit How much is the clock?)
Ma kohe vaatan.;I'll have a look(lit I'll look at once.)
veerand, veerandi, veerandit;quarter
veerand kolm;quarter past two (lit a quarter towards three)
Ai!;Ouch!
Appi!;Oh dear! (lit Help!)
juuksur, juuksuri, juuksurit;hairdresser
klient, kliendi, klienti;client
kolm/veerand, kolm/veerandi, kolm/veerandit;three quarters
Pole viga!;It's OK! (lit No problem!)
Anna andeks!;I'm sorry! (lit Forgive me!)
kell, kella, kella;clock, watch
